sample_id	read_count	gc_content	seq_score	read_length	map_score
barcode02	read	occurence
Mapped	3004
No mapped	956
total	3960	GC_content,mapped,occurence
50.11,1.0,2.0
50.12,0.0,1.0
50.13,0.0,1.0
50.13,1.0,3.0
50.14,0.0,1.0
50.15,0.0,1.0
50.15,1.0,2.0
50.17,0.0,1.0
50.17,1.0,1.0
50.18,0.0,1.0
50.18,1.0,24.0
50.2,0.0,1.0
50.2,1.0,2.0
50.21,1.0,2.0
50.22,1.0,2.0
50.23,1.0,1.0
50.24,1.0,2.0
50.25,0.0,1.0
50.25,1.0,1.0
50.26,0.0,1.0
50.26,1.0,2.0
50.27,1.0,2.0
50.28,0.0,2.0
50.29,0.0,1.0
50.3,1.0,1.0
50.31,0.0,2.0
50.32,0.0,1.0
50.32,1.0,2.0
50.33,0.0,1.0
50.33,1.0,3.0
50.35,1.0,2.0
50.36,1.0,16.0
50.37,0.0,2.0
50.37,1.0,1.0
50.38,0.0,1.0
50.39,1.0,1.0
50.41,0.0,1.0
50.41,1.0,2.0
50.42,0.0,3.0
50.43,1.0,2.0
50.45,0.0,1.0
50.45,1.0,2.0
50.46,1.0,2.0
50.47,0.0,1.0
50.47,1.0,1.0
50.5,0.0,1.0
50.5,1.0,1.0
50.51,1.0,1.0
50.53,1.0,1.0
50.54,0.0,1.0
50.54,1.0,14.0
50.55,1.0,3.0
50.56,0.0,1.0
50.56,1.0,2.0
50.57,0.0,2.0
50.57,1.0,3.0
50.58,0.0,1.0
50.6,0.0,1.0
50.6,1.0,1.0
50.61,0.0,1.0
50.61,1.0,3.0
50.64,0.0,2.0
50.64,1.0,1.0
50.65,0.0,1.0
50.65,1.0,2.0
50.66,0.0,4.0
50.66,1.0,2.0
50.68,0.0,1.0
50.68,1.0,1.0
50.71,0.0,2.0
50.71,1.0,2.0
50.72,0.0,3.0
50.72,1.0,2.0
50.73,1.0,4.0
50.74,1.0,4.0
50.75,1.0,1.0
50.76,1.0,2.0
50.77,0.0,1.0
50.78,1.0,1.0
50.79,0.0,1.0
50.79,1.0,2.0
50.8,0.0,1.0
50.8,1.0,1.0
50.81,0.0,1.0
50.81,1.0,1.0
50.82,0.0,1.0
50.82,1.0,1.0
50.83,0.0,1.0
50.83,1.0,1.0
50.85,0.0,1.0
50.85,1.0,1.0
50.86,0.0,1.0
50.86,1.0,2.0
50.87,0.0,1.0
50.87,1.0,3.0
50.88,1.0,5.0
50.89,1.0,1.0
50.9,0.0,1.0
50.9,1.0,2.0
50.91,0.0,1.0
50.91,1.0,3.0
50.92,0.0,1.0
50.92,1.0,1.0
50.93,0.0,2.0
50.93,1.0,2.0
50.94,0.0,2.0
50.94,1.0,3.0
50.95,0.0,1.0
50.95,1.0,1.0
50.96,0.0,1.0
50.96,1.0,1.0
50.97,0.0,1.0
50.97,1.0,2.0
50.99,0.0,1.0
50.99,1.0,1.0
51.0,0.0,1.0
51.01,0.0,1.0
51.02,1.0,1.0
51.03,0.0,1.0
51.03,1.0,1.0
51.04,0.0,2.0
51.04,1.0,1.0
51.05,0.0,3.0
51.05,1.0,1.0
51.06,0.0,1.0
51.06,1.0,1.0
51.07,0.0,1.0
51.08,1.0,3.0
51.09,1.0,5.0
51.1,0.0,2.0
51.1,1.0,2.0
51.11,0.0,2.0
51.11,1.0,3.0
51.12,1.0,1.0
51.13,0.0,1.0
51.13,1.0,1.0
51.14,0.0,1.0
51.14,1.0,1.0
51.15,0.0,1.0
51.15,1.0,1.0
51.16,0.0,1.0
51.16,1.0,2.0
51.17,0.0,1.0
51.18,0.0,1.0
51.2,0.0,1.0
51.21,0.0,1.0
51.22,0.0,1.0
51.23,0.0,3.0
51.24,0.0,1.0
51.26,1.0,4.0
51.28,1.0,1.0
51.29,0.0,1.0
51.29,1.0,1.0
51.3,0.0,1.0
51.3,1.0,1.0
51.31,0.0,1.0
51.32,0.0,2.0
51.32,1.0,1.0
51.33,1.0,3.0
51.35,0.0,1.0
51.35,1.0,2.0
51.37,0.0,3.0
51.37,1.0,1.0
51.41,0.0,1.0
51.42,0.0,1.0
51.43,0.0,1.0
51.44,0.0,1.0
51.45,0.0,1.0
51.45,1.0,1.0
51.46,1.0,1.0
51.48,1.0,2.0
51.49,1.0,1.0
51.5,0.0,1.0
51.5,1.0,1.0
51.52,1.0,1.0
51.53,1.0,2.0
51.54,1.0,1.0
51.56,0.0,1.0
51.56,1.0,1.0
51.57,1.0,2.0
51.58,0.0,1.0
51.59,0.0,2.0
51.6,0.0,1.0
51.6,1.0,1.0
51.63,0.0,1.0
51.63,1.0,1.0
51.66,0.0,1.0
51.67,0.0,2.0
51.67,1.0,2.0
51.68,1.0,2.0
51.71,1.0,2.0
51.72,0.0,1.0
51.72,1.0,1.0
51.74,1.0,1.0
51.75,1.0,1.0
51.77,1.0,2.0
51.78,0.0,2.0
51.78,1.0,1.0
51.8,0.0,2.0
51.82,1.0,2.0
51.84,0.0,1.0
51.88,0.0,1.0
51.89,0.0,1.0
51.89,1.0,2.0
51.91,0.0,1.0
51.91,1.0,1.0
51.92,1.0,1.0
51.93,0.0,1.0
51.93,1.0,1.0
