sample_id	read_count	gc_content	seq_score	read_length	map_score
barcode01	read	occurence
Mapped	3807
No mapped	402
total	4209	GC_content,mapped,occurence
43.47,1.0,5.0
43.48,0.0,2.0
43.48,1.0,3.0
43.49,1.0,1.0
43.5,1.0,1.0
43.51,1.0,1.0
43.52,0.0,1.0
43.53,1.0,6.0
43.54,0.0,1.0
43.54,1.0,2.0
43.55,1.0,3.0
43.56,1.0,2.0
43.57,0.0,1.0
43.57,1.0,3.0
43.58,0.0,1.0
43.58,1.0,1.0
43.59,0.0,1.0
43.59,1.0,1.0
43.6,0.0,2.0
43.6,1.0,4.0
43.61,1.0,3.0
43.63,0.0,1.0
43.63,1.0,4.0
43.64,1.0,1.0
43.65,0.0,1.0
43.65,1.0,5.0
43.66,0.0,2.0
43.66,1.0,1.0
43.67,1.0,4.0
43.68,1.0,1.0
43.69,1.0,2.0
43.7,1.0,2.0
43.71,0.0,2.0
43.71,1.0,9.0
43.72,1.0,5.0
43.73,0.0,2.0
43.73,1.0,1.0
43.74,1.0,3.0
43.75,1.0,1.0
43.76,1.0,6.0
43.77,0.0,1.0
43.77,1.0,2.0
43.79,1.0,5.0
43.8,1.0,3.0
43.81,0.0,1.0
43.81,1.0,2.0
43.82,0.0,1.0
43.82,1.0,4.0
43.83,1.0,3.0
43.84,1.0,6.0
43.85,1.0,3.0
43.86,1.0,3.0
43.87,0.0,2.0
43.88,1.0,3.0
43.89,0.0,1.0
43.89,1.0,1.0
43.9,1.0,1.0
43.91,1.0,4.0
43.92,1.0,2.0
43.93,1.0,4.0
43.94,1.0,6.0
43.95,1.0,6.0
43.96,1.0,6.0
43.97,1.0,4.0
43.98,0.0,1.0
43.98,1.0,7.0
43.99,1.0,2.0
44.0,0.0,1.0
44.0,1.0,5.0
44.01,1.0,3.0
44.02,1.0,2.0
44.03,1.0,3.0
44.04,1.0,3.0
44.05,1.0,4.0
44.06,1.0,4.0
44.07,0.0,1.0
44.07,1.0,4.0
44.08,1.0,3.0
44.09,0.0,1.0
44.09,1.0,10.0
44.1,0.0,1.0
44.1,1.0,4.0
44.11,1.0,2.0
44.12,1.0,6.0
44.13,1.0,4.0
44.14,1.0,2.0
44.15,1.0,4.0
44.16,1.0,6.0
44.17,1.0,3.0
